TransactionID,Date,ProductID,ProductName,ProductCategory,Quantity,Price
T1001,2024-01-01,P001,Premium Coffee,Beverages,2,12.99
T1001,2024-01-01,P002,Organic Milk,Dairy,1,4.50
T1001,2024-01-01,P003,Sugar,Baking,1,3.25
T1002,2024-01-01,P001,Premium Coffee,Beverages,1,12.99
T1002,2024-01-01,P004,Coffee Filters,Accessories,1,2.50
T1003,2024-01-01,P005,Whole Wheat Bread,Bakery,2,4.75
T1003,2024-01-01,P006,Peanut Butter,Spreads,1,5.99
T1003,2024-01-01,P007,Strawberry Jam,Spreads,1,4.50
T1004,2024-01-01,P008,Toothpaste,Personal Care,1,3.99
T1004,2024-01-01,P009,Toothbrush,Personal Care,2,2.50
T1005,2024-01-02,P010,Organic Apples,Produce,4,1.25
T1005,2024-01-02,P011,Bananas,Produce,6,0.60
T1005,2024-01-02,P012,Oranges,Produce,4,0.80
T1006,2024-01-02,P001,Premium Coffee,Beverages,1,12.99
T1006,2024-01-02,P002,Organic Milk,Dairy,2,4.50
T1006,2024-01-02,P013,Cereal,Breakfast,1,4.25
T1007,2024-01-02,P006,Peanut Butter,Spreads,1,5.99
T1007,2024-01-02,P005,Whole Wheat Bread,Bakery,1,4.75
T1008,2024-01-02,P014,Chocolate Chip Cookies,Snacks,2,3.99
T1008,2024-01-02,P002,Organic Milk,Dairy,1,4.50
T1009,2024-01-03,P015,Potato Chips,Snacks,3,3.50
T1009,2024-01-03,P016,Salsa,Condiments,1,4.25
T1009,2024-01-03,P017,Tortilla Chips,Snacks,1,3.75
T1010,2024-01-03,P001,Premium Coffee,Beverages,1,12.99
T1010,2024-01-03,P003,Sugar,Baking,1,3.25
T1010,2024-01-03,P002,Organic Milk,Dairy,1,4.50
T1011,2024-01-03,P018,Paper Towels,Household,2,8.99
T1011,2024-01-03,P019,Dish Soap,Cleaning,1,3.50
T1012,2024-01-03,P020,Shampoo,Personal Care,1,6.99
T1012,2024-01-03,P021,Conditioner,Personal Care,1,6.99
T1013,2024-01-04,P001,Premium Coffee,Beverages,2,12.99
T1013,2024-01-04,P004,Coffee Filters,Accessories,1,2.50
T1014,2024-01-04,P022,Yogurt,Dairy,4,1.25
T1014,2024-01-04,P010,Organic Apples,Produce,3,1.25
T1014,2024-01-04,P011,Bananas,Produce,2,0.60
T1015,2024-01-04,P023,Chicken Breast,Meat,2,9.99
T1015,2024-01-04,P024,Rice,Grains,1,5.50
T1015,2024-01-04,P025,Broccoli,Produce,1,2.99
T1016,2024-01-05,P026,Pasta,Grains,2,2.25
T1016,2024-01-05,P027,Pasta Sauce,Condiments,1,3.99
T1016,2024-01-05,P028,Parmesan Cheese,Dairy,1,4.50
T1017,2024-01-05,P029,Ground Beef,Meat,1,7.99
T1017,2024-01-05,P030,Hamburger Buns,Bakery,1,3.50
T1017,2024-01-05,P031,Ketchup,Condiments,1,2.99
T1017,2024-01-05,P032,Mustard,Condiments,1,2.75
T1018,2024-01-05,P033,Laundry Detergent,Cleaning,1,12.99
T1018,2024-01-05,P034,Fabric Softener,Cleaning,1,8.50
T1019,2024-01-06,P001,Premium Coffee,Beverages,1,12.99
T1019,2024-01-06,P002,Organic Milk,Dairy,1,4.50
T1020,2024-01-06,P014,Chocolate Chip Cookies,Snacks,1,3.99
T1020,2024-01-06,P002,Organic Milk,Dairy,2,4.50
T1021,2024-01-06,P035,Bottled Water,Beverages,2,5.99
T1021,2024-01-06,P036,Sports Drink,Beverages,4,1.99
T1022,2024-01-06,P037,Canned Tuna,Canned Goods,3,1.75
T1022,2024-01-06,P038,Mayonnaise,Condiments,1,4.99
T1023,2024-01-07,P005,Whole Wheat Bread,Bakery,1,4.75
T1023,2024-01-07,P006,Peanut Butter,Spreads,1,5.99
T1023,2024-01-07,P007,Strawberry Jam,Spreads,1,4.50
T1024,2024-01-07,P039,Eggs,Dairy,1,3.99
T1024,2024-01-07,P040,Bacon,Meat,1,6.50
T1024,2024-01-07,P013,Cereal,Breakfast,1,4.25
T1024,2024-01-07,P002,Organic Milk,Dairy,1,4.50
T1025,2024-01-07,P001,Premium Coffee,Beverages,1,12.99
T1025,2024-01-07,P004,Coffee Filters,Accessories,1,2.50
T1026,2024-01-08,P015,Potato Chips,Snacks,2,3.50
T1026,2024-01-08,P016,Salsa,Condiments,1,4.25
T1027,2024-01-08,P041,Frozen Pizza,Frozen Foods,2,6.99
T1027,2024-01-08,P042,Ice Cream,Frozen Foods,1,5.50
T1028,2024-01-08,P001,Premium Coffee,Beverages,1,12.99
T1028,2024-01-08,P002,Organic Milk,Dairy,1,4.50
T1029,2024-01-09,P043,Orange Juice,Beverages,1,4.99
T1029,2024-01-09,P005,Whole Wheat Bread,Bakery,1,4.75
T1029,2024-01-09,P039,Eggs,Dairy,1,3.99
T1030,2024-01-09,P044,Aluminum Foil,Household,1,3.99
T1030,2024-01-09,P045,Plastic Wrap,Household,1,3.50
T1031,2024-01-09,P046,Dog Food,Pet Supplies,1,19.99
T1031,2024-01-09,P047,Cat Food,Pet Supplies,1,15.99
T1032,2024-01-10,P001,Premium Coffee,Beverages,1,12.99
T1032,2024-01-10,P004,Coffee Filters,Accessories,1,2.50
T1032,2024-01-10,P002,Organic Milk,Dairy,1,4.50
T1033,2024-01-10,P048,White Bread,Bakery,1,3.50
T1033,2024-01-10,P038,Mayonnaise,Condiments,1,4.99
T1033,2024-01-10,P049,Sliced Turkey,Deli,1,7.99
T1033,2024-01-10,P050,Sliced Cheese,Deli,1,5.99
T1034,2024-01-10,P010,Organic Apples,Produce,3,1.25
T1034,2024-01-10,P011,Bananas,Produce,4,0.60
T1035,2024-01-11,P015,Potato Chips,Snacks,1,3.50
T1035,2024-01-11,P035,Bottled Water,Beverages,1,5.99
T1036,2024-01-11,P001,Premium Coffee,Beverages,1,12.99
T1036,2024-01-11,P002,Organic Milk,Dairy,1,4.50
T1037,2024-01-11,P005,Whole Wheat Bread,Bakery,1,4.75
T1037,2024-01-11,P006,Peanut Butter,Spreads,1,5.99
T1038,2024-01-12,P051,Mixed Nuts,Snacks,1,8.99
T1038,2024-01-12,P052,Dried Fruit,Snacks,1,6.50
T1039,2024-01-12,P001,Premium Coffee,Beverages,1,12.99
T1039,2024-01-12,P004,Coffee Filters,Accessories,2,2.50
T1040,2024-01-12,P053,Tomato Soup,Canned Goods,3,1.99
T1040,2024-01-12,P048,White Bread,Bakery,1,3.50
T1040,2024-01-12,P050,Sliced Cheese,Deli,1,5.99
T1041,2024-01-13,P007,Strawberry Jam,Spreads,1,4.50
T1041,2024-01-13,P005,Whole Wheat Bread,Bakery,1,4.75
T1042,2024-01-13,P013,Cereal,Breakfast,1,4.25
T1042,2024-01-13,P002,Organic Milk,Dairy,1,4.50
T1043,2024-01-13,P001,Premium Coffee,Beverages,1,12.99
T1043,2024-01-13,P003,Sugar,Baking,1,3.25
T1044,2024-01-14,P054,Cheddar Cheese,Dairy,1,4.99
T1044,2024-01-14,P055,Butter,Dairy,1,4.50
T1044,2024-01-14,P056,Flour,Baking,1,3.99
T1045,2024-01-14,P001,Premium Coffee,Beverages,2,12.99
T1045,2024-01-14,P002,Organic Milk,Dairy,1,4.50
T1046,2024-01-14,P057,Bagels,Bakery,1,4.99
T1046,2024-01-14,P058,Cream Cheese,Dairy,1,3.50
T1047,2024-01-15,P059,Soy Sauce,Condiments,1,3.99
T1047,2024-01-15,P060,Rice Vinegar,Condiments,1,3.75
T1048,2024-01-15,P001,Premium Coffee,Beverages,1,12.99
T1048,2024-01-15,P002,Organic Milk,Dairy,1,4.50
T1049,2024-01-15,P015,Potato Chips,Snacks,2,3.50
T1049,2024-01-15,P035,Bottled Water,Beverages,1,5.99
T1050,2024-01-16,P061,Sandwich Cookies,Snacks,1,3.99
T1050,2024-01-16,P002,Organic Milk,Dairy,1,4.50
T1051,2024-01-16,P001,Premium Coffee,Beverages,1,12.99
T1051,2024-01-16,P004,Coffee Filters,Accessories,1,2.50
T1052,2024-01-16,P013,Cereal,Breakfast,1,4.25
T1052,2024-01-16,P022,Yogurt,Dairy,2,1.25
T1053,2024-01-17,P062,Avocados,Produce,3,1.50
T1053,2024-01-17,P063,Limes,Produce,4,0.50
T1053,2024-01-17,P017,Tortilla Chips,Snacks,1,3.75
T1053,2024-01-17,P016,Salsa,Condiments,1,4.25
T1054,2024-01-17,P001,Premium Coffee,Beverages,1,12.99
T1054,2024-01-17,P002,Organic Milk,Dairy,1,4.50
T1055,2024-01-17,P064,Toilet Paper,Household,1,9.99
T1055,2024-01-17,P018,Paper Towels,Household,1,8.99
T1056,2024-01-18,P065,Honey,Condiments,1,6.99
T1056,2024-01-18,P066,Green Tea,Beverages,1,4.99
T1057,2024-01-18,P001,Premium Coffee,Beverages,1,12.99
T1057,2024-01-18,P004,Coffee Filters,Accessories,1,2.50
T1058,2024-01-18,P005,Whole Wheat Bread,Bakery,1,4.75
T1058,2024-01-18,P006,Peanut Butter,Spreads,1,5.99
T1058,2024-01-18,P007,Strawberry Jam,Spreads,1,4.50
T1059,2024-01-19,P067,Hand Soap,Personal Care,2,3.99
T1059,2024-01-19,P068,Body Wash,Personal Care,1,5.99
T1060,2024-01-19,P001,Premium Coffee,Beverages,1,12.99
T1060,2024-01-19,P002,Organic Milk,Dairy,1,4.50
T1061,2024-01-19,P010,Organic Apples,Produce,3,1.25
T1061,2024-01-19,P011,Bananas,Produce,3,0.60
T1062,2024-01-20,P016,Salsa,Condiments,1,4.25
T1062,2024-01-20,P017,Tortilla Chips,Snacks,2,3.75
T1063,2024-01-20,P001,Premium Coffee,Beverages,1,12.99
T1063,2024-01-20,P004,Coffee Filters,Accessories,1,2.50
T1064,2024-01-20,P005,Whole Wheat Bread,Bakery,1,4.75
T1064,2024-01-20,P049,Sliced Turkey,Deli,1,7.99
T1064,2024-01-20,P050,Sliced Cheese,Deli,1,5.99
T1065,2024-01-21,P013,Cereal,Breakfast,1,4.25
T1065,2024-01-21,P002,Organic Milk,Dairy,2,4.50
T1066,2024-01-21,P001,Premium Coffee,Beverages,1,12.99
T1066,2024-01-21,P003,Sugar,Baking,1,3.25
T1067,2024-01-21,P069,Sparkling Water,Beverages,6,1.50
T1067,2024-01-21,P070,Fresh Lemonade,Beverages,1,4.99
T1068,2024-01-22,P071,Dish Sponge,Cleaning,2,2.50
T1068,2024-01-22,P019,Dish Soap,Cleaning,1,3.50
T1069,2024-01-22,P001,Premium Coffee,Beverages,1,12.99
T1069,2024-01-22,P002,Organic Milk,Dairy,1,4.50
T1070,2024-01-22,P026,Pasta,Grains,1,2.25
T1070,2024-01-22,P027,Pasta Sauce,Condiments,1,3.99
T1071,2024-01-23,P020,Shampoo,Personal Care,1,6.99
T1071,2024-01-23,P021,Conditioner,Personal Care,1,6.99
T1072,2024-01-23,P001,Premium Coffee,Beverages,1,12.99
T1072,2024-01-23,P002,Organic Milk,Dairy,1,4.50
